2026-05-13 19:31:28,490 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 19:31:30,864 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 19:38:24,971 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 19:39:42,785 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 19:39:45,348 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 19:41:42,423 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 19:41:43,305 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 19:42:58,271 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 19:43:00,119 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 20:00:07,818 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 20:00:09,857 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 20:01:15,380 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 20:01:16,517 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 20:06:17,391 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 20:06:19,305 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 20:07:03,808 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 20:07:04,729 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 20:17:54,757 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 20:17:57,772 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 20:18:40,882 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 20:19:24,608 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 20:40:26,774 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 20:40:29,747 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 20:55:15,694 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 20:55:16,579 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 21:01:02,805 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 21:01:03,665 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 21:18:41,468 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 21:18:42,398 | MainThread   | [INFO    ] | start               |: Creating New Plotter Process
2026-05-13 21:27:25,183 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 21:27:26,052 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 23:00:42,786 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 23:06:40,158 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 23:06:54,981 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 23:06:58,107 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 23:16:05,227 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 23:16:06,150 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-13 23:33:50,168 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-13 23:33:53,573 | MainThread   | [ERROR   ] | start               |: Plotter is already running
2026-05-14 00:07:51,577 | MainThread   | [INFO    ] | GET_GUI             |: GUI is already running. Shutdown notebook to force restart the GUI.
2026-05-14 00:07:54,990 | MainThread   | [ERROR   ] | start               |: Plotter is already running
