2026-04-25 17:31:54,982 | MainThread   | [DEBUG   ] | run                 |: Python version: 3.13.2 (main, Feb 26 2025, 14:05:36) [Clang 16.0.0 (clang-1600.0.26.6)]
2026-04-25 17:31:54,982 | MainThread   | [DEBUG   ] | run                 |: Parameters used:
2026-04-25 17:31:54,982 | MainThread   | [DEBUG   ] | run                 |: Symbol               : o
2026-04-25 17:31:54,982 | MainThread   | [DEBUG   ] | run                 |: Symbol size          : 5
2026-04-25 17:31:54,982 | MainThread   | [DEBUG   ] | run                 |: Line thickness       : 2
2026-04-25 17:31:54,982 | MainThread   | [DEBUG   ] | run                 |: Position tolerance   : 0.03
2026-04-25 17:31:54,982 | MainThread   | [DEBUG   ] | run                 |: ------------------

2026-04-25 17:32:37,699 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:33:11,278 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:33:48,897 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:38:42,800 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:40:32,358 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:40:51,497 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:41:51,056 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:48:05,310 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:48:28,940 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:52:08,709 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 17:53:18,404 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:04:24,437 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
2026-04-25 18:16:26,620 | MainThread   | [DEBUG   ] | reset_all_plots     |: Resetting trajectory plots...
